"","Of.098","Of.104","Of.112","Of.114","Of.126","Of.130","Of.142","Of.150","Of.152","Of.154","Of.158","Of.162","Of.170","Of.180","Of.200","Of.202","Of.216","Of.224","Of.266"
"Ofaveolata029197",17,9,10,2,53,29,30,14,21,2,1,58,35,10,18,13,1,14,59
"Ofaveolata029198",77,37,17,2,77,56,25,13,15,0,0,107,41,12,0,19,0,18,196
"Ofaveolata029199",71,52,2,8,2,24,0,0,0,0,0,6,2,0,0,0,0,8,47
"Ofaveolata029201",26,36,1,0,2,223,0,1,0,0,0,10,3,0,0,1,0,6,24
"Ofaveolata029202",13,2,3,0,22,11,5,1,2,0,4,31,15,10,0,9,2,11,52
"Ofaveolata029210",71,15,12,1,127,49,17,7,2,0,0,95,55,10,12,61,0,14,84
"Ofaveolata029211",17,3,2,0,32,6,1,1,9,0,0,8,3,3,4,16,0,7,11
"Ofaveolata029215",134,20,0,0,108,26,3,0,0,0,0,0,0,0,49,4,0,3,19
"Ofaveolata029232",589,1307,16,4,562,39,33,0,41,0,104,16,6,5,736,100,0,5,11
"Ofaveolata029233",41,0,0,0,25,22,12,2,0,0,0,26,15,1,1,17,0,4,39
"Ofaveolata029235",75,10,11,4,220,42,21,13,8,0,0,72,41,14,5,13,0,20,145
"Ofaveolata029238",4,0,1,4,3,7,0,4,1,0,0,13,2,0,0,1,0,3,14
"Ofaveolata029243",30,0,8,2,25,39,11,2,1,0,0,46,19,16,0,1,0,14,39
"Ofaveolata029244",12,0,3,0,14,4,6,0,0,0,0,15,3,0,0,1,0,2,18
"Ofaveolata029248",83,23,17,6,134,111,36,10,14,0,1,165,47,12,4,16,0,53,300
"Ofaveolata029252",33,35,33,6,117,80,40,17,7,5,2,108,63,35,3,7,2,46,253
"Ofaveolata029254",2715,1706,1222,600,2115,2269,1333,1069,484,166,240,2367,2011,1030,510,1318,173,1541,5288
"Ofaveolata029258",432,163,370,233,731,731,278,254,229,44,44,1251,810,388,47,368,35,323,1113
"Ofaveolata029271",70,463,21,13,104,82,43,29,25,0,10,212,58,14,27,19,4,45,240
"Ofaveolata029272",71,24,46,42,100,100,54,58,34,1,2,194,127,45,38,86,8,95,174
"Ofaveolata029274",8,0,0,0,3,11,0,0,0,0,0,5,3,0,0,0,0,8,26
"Ofaveolata029276",89,23,28,7,69,65,32,10,7,2,7,117,65,25,11,64,10,49,186
"Ofaveolata029280",71,8,27,5,108,78,44,33,5,4,1,121,74,22,7,68,0,43,152
"Ofaveolata029281",30,6,9,1,30,15,23,9,0,1,0,38,29,7,4,13,0,7,33
"Ofaveolata029282",3,0,0,0,4,1,0,3,0,0,0,6,3,0,0,13,0,3,10
"Ofaveolata029283",40,19,15,6,58,38,22,15,8,0,2,54,49,7,2,4,0,29,85
"Ofaveolata029285",3,0,11,8,3,7,9,4,1,2,0,16,14,0,1,5,1,3,17
"Ofaveolata029286",32,17,3,7,14,19,10,13,17,0,0,20,19,1,0,3,0,4,36
"Ofaveolata029287",12,9,11,19,41,10,6,12,14,1,11,33,33,15,5,10,1,13,24
"Ofaveolata029288",227,114,27,11,162,260,43,31,18,7,16,155,81,28,32,45,0,97,368
"Ofaveolata029290",14,11,3,0,14,12,1,0,3,0,0,14,4,2,0,11,0,4,27
"Ofaveolata029292",15,0,5,0,6,25,1,5,0,0,0,27,9,15,0,0,0,6,23
"Ofaveolata029293",12,0,0,4,17,2,4,4,7,0,1,17,11,2,0,10,0,5,10
"Ofaveolata029297",30,17,11,10,22,27,27,3,13,0,8,52,35,13,6,3,1,19,26
"Ofaveolata029299",8,0,2,0,8,8,17,4,5,0,0,37,11,0,1,0,0,15,50
"Ofaveolata029301",152,37,137,17,465,235,187,182,81,23,8,528,427,164,12,106,9,344,417
"Ofaveolata029303",3,4,2,2,13,9,2,1,0,0,0,23,5,2,0,13,0,3,24
"Ofaveolata029304",25,0,6,1,8,20,2,0,5,0,2,30,29,1,0,0,0,12,6
"Ofaveolata029305",16,0,1,5,21,5,4,8,6,0,0,32,15,3,0,6,2,11,48
"Ofaveolata029307",14,2,3,0,25,6,4,2,2,0,0,11,10,4,4,6,1,10,15
"Ofaveolata029308",4,1,0,0,10,6,2,3,1,1,0,16,3,0,1,1,0,17,46
"Ofaveolata029309",5,1,12,0,15,13,2,2,0,0,1,14,7,0,0,6,0,9,31
"Ofaveolata029316",8,1,21,0,32,1,0,5,3,1,0,54,22,12,0,5,0,12,15
"Ofaveolata029318",114,62,10,5,38,170,17,19,9,0,3,60,20,9,0,13,3,7,155
"Ofaveolata029329",11,0,7,0,15,11,1,7,4,0,0,26,6,2,0,0,0,5,43
"Ofaveolata029330",185,34,73,19,262,133,100,99,52,11,18,276,169,124,50,98,8,137,305
"Ofaveolata029332",32,6,12,0,78,19,20,23,0,0,0,55,27,10,0,7,0,22,85
"Ofaveolata029333",86,27,13,2,153,29,18,14,18,2,8,60,26,8,12,26,0,19,75
"Ofaveolata029335",169,108,13,12,314,42,26,23,15,0,9,97,41,10,14,11,2,37,165
"Ofaveolata029338",3,10,12,4,9,10,3,7,3,1,0,29,35,2,4,2,0,12,16
"Ofaveolata029339",5,3,1,0,6,3,2,3,9,0,1,25,15,1,0,2,3,9,10
"Ofaveolata029340",3,3,0,0,8,1,0,0,0,0,0,21,7,0,0,0,0,11,4
"Ofaveolata029341",3,10,12,0,16,5,0,5,5,0,1,27,27,4,6,14,0,17,10
"Ofaveolata029344",0,0,3,0,2,10,0,5,0,0,0,20,10,0,0,0,2,1,0
"Ofaveolata029346",3,0,13,0,11,38,1,11,3,0,0,57,21,3,1,0,1,10,67
"Ofaveolata029363",16,13,10,3,14,14,5,15,0,0,0,31,18,2,0,7,2,7,71
"Ofaveolata029365",459,208,6,0,0,246,0,3,0,0,0,9,3,0,0,1,0,5,19
"Ofaveolata029369",20,0,10,0,22,21,0,5,2,0,4,50,16,0,0,7,1,13,58
"Ofaveolata029370",122,50,8,0,13,180,55,6,0,0,0,89,29,14,0,21,0,8,295
"Ofaveolata029371",45,6,7,1,9,66,23,0,3,0,0,42,11,13,0,10,0,1,213
"Ofaveolata029373",6,21,3,0,5,5,7,2,0,0,3,3,1,3,0,0,0,6,11
"Ofaveolata029374",48,45,16,4,50,44,43,9,0,0,5,39,31,11,14,7,0,20,174
"Ofaveolata029376",28,0,10,9,24,14,18,17,2,0,5,43,26,7,0,22,1,12,41
"Ofaveolata029384",3,3,12,5,7,26,9,11,3,0,0,2,7,8,3,4,2,0,4
"Ofaveolata029401",9,0,1,0,13,5,0,0,0,0,0,12,6,0,0,2,0,5,4
"Ofaveolata029411",191,66,57,13,333,112,94,42,29,11,6,371,185,45,3,47,9,215,462
"Ofaveolata029412",28,1,16,0,42,18,3,5,5,4,0,38,18,8,6,8,4,20,16
"Ofaveolata029414",17,7,13,0,31,10,4,3,1,0,0,36,7,0,6,0,0,4,42
"Ofaveolata029417",72,26,25,11,86,46,14,12,15,0,1,126,58,27,14,23,5,54,134
"Ofaveolata029418",159,54,34,17,172,157,38,24,24,6,17,160,75,8,0,25,2,69,353
"Ofaveolata029420",40,15,4,1,86,12,8,3,0,0,2,13,10,1,1,1,0,7,22
"Ofaveolata029421",14,3,4,1,16,22,3,1,1,0,1,22,6,0,0,3,0,10,45
"Ofaveolata029422",34,5,0,0,12,50,3,2,0,0,0,14,3,4,0,2,0,4,147
"Ofaveolata029423",18,1,0,0,5,10,1,0,0,0,2,5,9,0,0,4,0,3,39
"Ofaveolata029424",66,29,5,5,3,44,8,7,1,0,0,40,21,0,0,8,0,11,229
"Ofaveolata029427",1952,1219,565,317,1466,1827,908,397,266,70,85,1132,712,280,213,523,50,668,2723
"Ofaveolata029429",14,3,3,0,17,14,4,2,0,0,0,17,3,6,5,16,0,7,21
"Ofaveolata029430",93,30,65,39,202,108,62,62,48,8,15,335,148,39,6,64,8,98,520
"Ofaveolata029432",125,47,7,11,51,85,23,10,11,2,5,72,34,16,61,50,3,24,102
"Ofaveolata029433",31,12,11,0,10,19,4,5,0,0,0,19,7,5,25,8,1,5,16
"Ofaveolata029434",34,8,5,0,13,22,5,0,7,0,0,24,15,0,0,1,0,6,39
"Ofaveolata029435",58,26,1,1,6,29,13,0,0,0,0,23,7,1,0,2,0,11,46
"Ofaveolata029438",80,76,58,33,80,78,57,26,28,17,0,316,181,29,3,70,4,105,147
"Ofaveolata029478",7,0,11,0,16,5,3,3,0,0,0,25,13,3,1,6,0,3,31
"Ofaveolata029479",3,0,6,9,5,13,10,13,0,0,0,23,17,14,0,6,0,6,59
"Ofaveolata029480",8,0,6,0,3,6,1,0,0,0,0,24,12,3,0,11,0,9,23
"Ofaveolata029482",5,1,2,0,19,7,6,0,1,0,0,27,13,0,0,6,0,4,51
"Ofaveolata029486",102,66,7,9,37,71,15,10,6,0,2,48,42,11,5,23,1,29,97
"Ofaveolata029487",79,36,25,3,91,39,23,23,3,3,2,103,52,14,0,16,2,20,148
"Ofaveolata029493",96,59,59,28,176,125,50,35,14,0,2,370,148,17,21,81,5,116,367
"Ofaveolata029496",13,5,3,1,43,31,14,16,14,3,2,58,12,6,2,16,3,8,86
"Ofaveolata029520",18,9,0,3,2,56,0,0,0,0,0,9,1,0,0,0,0,41,263
"Ofaveolata029521",26,2,0,0,40,14,6,1,1,0,0,38,32,1,0,10,1,7,108
"Ofaveolata029523",6,0,23,10,108,26,24,15,24,9,11,131,78,35,0,15,4,36,150
"Ofaveolata029524",2,1,0,0,10,14,3,2,0,0,0,20,5,1,0,9,7,8,22
"Ofaveolata029525",7,0,0,0,0,2,2,8,2,0,0,29,14,5,0,8,0,9,2
"Ofaveolata029535",10,2,4,0,1,10,7,0,0,0,0,20,13,5,3,4,0,7,15
"Ofaveolata029537",36,130,12,33,4,13,17,0,17,1,0,30,35,15,0,0,11,23,29
"Ofaveolata029539",31,40,27,0,3,21,10,4,12,0,1,46,46,3,9,29,0,16,67
"Ofaveolata029541",650,286,114,74,715,224,135,85,75,19,53,256,165,72,76,139,7,123,584
"Ofaveolata029543",6,9,0,0,36,1,0,4,0,0,0,9,7,0,0,0,0,1,22
"Ofaveolata029546",319,98,41,27,212,101,58,32,21,6,13,181,122,34,102,73,4,77,167
"Ofaveolata029547",31,7,4,5,6,2,2,2,0,0,0,20,7,0,0,16,0,11,37
"Ofaveolata029549",14,0,7,2,24,9,18,7,4,0,4,49,27,2,0,4,0,4,76
"Ofaveolata029550",46,41,14,1,98,9,7,25,0,0,0,30,12,9,0,1,0,14,39
"Ofaveolata029554",423,175,31,12,139,75,44,29,13,0,17,96,58,12,38,56,7,59,179
"Ofaveolata029555",50,4,1,5,44,1,3,0,0,0,2,2,6,1,9,1,0,3,4
"Ofaveolata029557",438,228,70,45,298,153,116,43,67,20,2,336,187,59,49,162,6,130,324
"Ofaveolata029558",3,0,1,2,13,3,11,0,0,0,0,7,7,0,0,4,0,3,12
"Ofaveolata029559",1,0,3,6,6,1,1,1,5,0,4,17,8,1,0,6,1,2,17
"Ofaveolata029562",9,6,7,2,13,12,4,10,2,0,0,34,14,7,5,10,1,11,20
"Ofaveolata029565",68,126,40,8,70,54,19,19,9,1,4,66,35,4,5,29,4,36,69
"Ofaveolata029568",50,8,17,5,70,44,28,13,3,5,0,107,45,15,7,48,0,45,111
"Ofaveolata029570",92,10,55,12,133,45,40,40,48,1,1,256,177,33,23,65,13,82,178
"Ofaveolata029575",21,10,10,0,3,3,5,9,6,0,0,6,11,1,0,4,0,3,16
"Ofaveolata029579",18,5,8,0,60,22,2,6,0,0,5,35,29,13,2,6,0,14,65
"Ofaveolata029580",0,0,1,0,2,0,0,0,2,0,0,19,17,2,0,6,0,2,23
"Ofaveolata029581",21,0,4,0,29,16,0,9,0,0,0,21,8,0,0,6,0,11,27
"Ofaveolata029582",50,4,10,14,67,33,17,12,18,1,5,79,28,2,7,23,1,32,83
"Ofaveolata029584",91,25,15,3,107,31,25,5,1,0,1,84,57,5,7,16,4,24,165
"Ofaveolata029586",3,1,0,5,12,5,0,3,2,2,1,14,3,7,0,1,0,0,13
"Ofaveolata029588",17,6,5,0,34,12,12,10,1,0,0,25,12,1,0,2,0,8,48
"Ofaveolata029589",3,0,3,0,2,3,5,0,10,1,8,8,8,4,0,11,0,8,19
"Ofaveolata029595",61,23,6,0,62,19,9,5,1,0,0,30,13,0,4,7,1,5,34
"Ofaveolata029597",6,0,2,0,17,6,5,0,1,0,0,10,11,2,0,5,0,2,24
"Ofaveolata029600",47,7,33,8,84,40,32,23,7,0,3,184,86,19,4,41,0,47,198
"Ofaveolata029601",53,24,18,2,58,37,11,13,3,5,0,46,30,20,1,36,1,25,80
"Ofaveolata029607",2,0,1,0,15,3,0,0,0,0,3,11,0,0,0,0,0,0,8
"Ofaveolata029609",24,20,5,6,15,13,14,2,2,0,0,34,19,12,4,9,0,5,39
"Ofaveolata029622",16,0,12,0,22,9,7,6,1,0,0,32,23,6,1,6,0,11,46
"Ofaveolata029623",4,2,0,0,4,5,9,0,0,0,0,10,2,0,0,0,0,1,14
"Ofaveolata029625",210,15,16,0,48,30,7,9,5,1,4,95,35,11,98,13,0,16,156
"Ofaveolata029626",99,30,20,16,244,23,32,11,2,0,5,71,54,10,6,17,0,26,72
"Ofaveolata029628",45,30,27,11,34,39,19,9,14,0,3,60,46,20,0,34,3,42,47
"Ofaveolata029630",10,3,14,1,15,9,3,7,0,1,0,22,13,3,0,1,0,7,42
"Ofaveolata029631",10,2,4,0,11,12,0,0,0,0,3,14,3,1,0,2,0,4,13
"Ofaveolata029633",5,0,17,0,24,28,4,17,10,4,0,116,35,24,0,9,3,15,63
"Ofaveolata029636",61,54,26,17,61,55,30,21,34,1,4,83,30,18,9,32,2,40,86
"Ofaveolata029637",2189,781,490,299,1637,1518,768,425,245,27,77,1547,1035,319,190,632,51,585,4076
"Ofaveolata029638",65,12,21,13,160,61,41,18,4,5,0,101,57,17,3,32,0,42,145
"Ofaveolata029639",23,5,9,1,30,15,36,20,0,0,4,39,45,6,0,28,1,20,59
"Ofaveolata029640",1,6,9,0,6,14,3,5,8,0,0,27,13,8,8,7,1,8,29
"Ofaveolata029641",9,4,17,3,7,16,11,9,3,0,0,43,13,11,18,9,3,15,28
"Ofaveolata029644",4,0,0,0,11,4,0,0,0,0,1,2,5,4,0,0,0,0,10
"Ofaveolata029646",91,2,40,0,236,344,23,29,11,11,1,375,101,10,6,16,1,68,426
"Ofaveolata029647",15,0,2,0,4,14,2,10,4,0,0,13,4,0,0,16,2,4,56
"Ofaveolata029652",0,0,0,0,29,1,0,10,2,0,0,40,17,0,0,0,0,11,7
"Ofaveolata029654",164,44,55,17,99,63,49,40,26,17,7,188,125,49,39,117,1,95,192
"Ofaveolata029658",47,25,8,0,112,38,22,17,14,14,11,107,48,12,2,23,0,22,110
"Ofaveolata029659",4,0,0,0,15,6,5,0,5,0,0,12,9,5,1,7,0,4,35
"Ofaveolata029660",20,5,10,0,84,15,15,10,2,0,2,21,12,0,4,8,0,8,48
"Ofaveolata029661",11,2,0,0,11,10,2,0,1,0,0,3,6,0,0,0,0,0,15
"Ofaveolata029662",23,1,11,5,55,19,6,11,0,0,1,53,18,6,13,25,0,11,66
"Ofaveolata029663",13,8,2,0,22,16,1,3,1,0,0,29,16,12,2,14,0,8,18
"Ofaveolata029664",29,11,3,0,13,27,4,3,10,0,0,26,18,6,11,11,0,19,36
"Ofaveolata029669",4,2,4,0,1,10,1,0,7,1,0,4,2,2,0,5,0,2,18
"Ofaveolata029671",16,10,68,9,274,84,19,102,25,2,0,405,132,9,0,22,3,78,96
"Ofaveolata029675",1,6,3,0,32,3,0,28,0,0,0,88,37,14,0,10,0,25,57
"Ofaveolata029677",5,6,2,4,20,8,8,1,0,0,0,40,9,3,2,1,0,14,31
"Ofaveolata029688",4,0,14,1,28,14,21,6,1,0,0,55,28,13,0,12,0,11,64
"Ofaveolata029690",4,0,6,0,12,1,4,4,2,0,0,11,7,9,0,0,0,3,14
"Ofaveolata029692",6,0,5,7,31,4,5,2,0,1,8,23,8,9,1,33,0,0,5
"Ofaveolata029693",6,0,21,0,69,5,7,24,3,0,10,26,18,18,0,17,0,1,1
"Ofaveolata029703",68,39,43,5,92,47,42,25,14,3,4,135,59,20,2,19,2,42,156
"Ofaveolata029704",61,21,15,1,46,27,10,0,12,0,1,69,19,1,4,11,0,27,78
"Ofaveolata029709",17,7,2,0,8,6,6,2,5,0,0,21,14,1,0,6,0,5,19
"Ofaveolata029713",1,0,3,0,13,5,0,2,3,0,0,10,15,1,0,3,0,1,11
"Ofaveolata029714",100,14,73,16,201,65,52,39,8,0,12,208,64,29,21,48,0,87,212
"Ofaveolata029715",85,25,26,1,123,77,32,10,33,1,14,137,81,22,4,37,2,42,289
"Ofaveolata029717",23,0,3,0,35,15,5,3,5,0,0,32,18,13,0,9,0,10,44
"Ofaveolata029718",1,0,11,8,8,19,9,3,1,0,0,46,28,6,0,7,3,12,48
"Ofaveolata029719",21,0,12,1,17,18,5,3,23,0,0,74,42,1,5,32,0,23,16
"Ofaveolata029722",12,3,1,0,8,12,2,2,2,2,1,15,16,5,2,0,0,2,26
"Ofaveolata029723",230,73,123,53,301,259,165,89,83,14,22,286,161,56,96,135,4,148,340
"Ofaveolata029729",16,6,5,0,15,10,5,1,0,0,0,19,12,0,0,2,0,6,38
"Ofaveolata029730",59,5,33,6,119,43,40,30,9,4,1,118,76,40,3,30,0,72,120
"Ofaveolata029736",15,2,10,3,40,4,15,3,1,0,1,49,17,6,1,2,0,20,46
"Ofaveolata029739",8,1,10,3,19,5,8,4,1,0,1,24,13,15,5,8,0,9,36
"Ofaveolata029741",0,0,6,0,8,6,5,0,8,0,0,18,12,1,2,3,0,2,22
"Ofaveolata029746",153,73,38,65,192,75,77,72,49,7,1,252,158,63,7,127,4,111,308
"Ofaveolata029748",92,31,39,11,128,81,24,38,21,0,6,93,36,11,9,21,2,48,172
"Ofaveolata029749",27,9,6,1,31,16,7,2,1,0,8,46,15,16,6,3,2,13,67
"Ofaveolata029750",37,11,19,0,62,33,8,11,2,0,1,57,33,3,0,15,0,26,112
"Ofaveolata029755",19,5,1,3,28,9,7,7,0,0,0,23,6,6,0,2,0,6,42
"Ofaveolata029756",109,30,27,46,102,113,101,28,5,3,18,134,45,40,3,27,0,30,249
"Ofaveolata029766",5,0,97,9,8,159,79,133,93,23,0,491,210,114,1,109,10,108,238
"Ofaveolata029767",12,4,5,0,25,19,12,5,12,1,0,46,18,3,0,6,0,13,64
"Ofaveolata029768",0,1,2,0,3,5,1,3,0,0,0,17,8,0,6,6,0,2,11
"Ofaveolata029769",89,28,34,7,76,58,42,10,34,3,6,77,50,23,1,16,0,37,108
"Ofaveolata029773",733,126,36,62,531,94,80,50,39,23,134,131,83,83,359,125,15,98,346
"Ofaveolata029774",4235,2229,477,279,3725,1073,784,334,318,66,277,1413,984,331,759,1269,52,825,3026
"Ofaveolata029775",73,12,2,0,57,12,1,2,0,0,4,8,7,0,0,4,0,7,21
"Ofaveolata029779",390,73,36,13,92,472,157,57,43,19,0,219,67,59,25,54,4,59,549
"Ofaveolata029780",5003,4135,249,400,501,1614,623,114,44,32,16,270,189,93,37,207,10,91,6680
"Ofaveolata029781",545,200,205,119,1533,604,156,68,131,23,144,462,270,100,594,315,22,265,863
"Ofaveolata029782",45,1,6,1,46,51,26,4,6,0,12,84,47,0,5,54,2,33,133
"Ofaveolata029784",9,7,8,0,30,10,3,15,0,0,0,29,11,0,2,1,0,5,122
"Ofaveolata029785",41,5,10,3,38,11,5,1,4,0,0,28,17,0,0,0,0,26,51
"Ofaveolata029786",11,4,5,6,48,27,15,5,2,0,0,39,9,0,0,2,0,18,80
"Ofaveolata029787",10,0,9,2,9,10,1,0,4,0,1,24,8,0,0,7,0,6,24
"Ofaveolata029788",29,6,11,5,37,31,38,12,5,0,0,35,17,2,1,11,3,11,103
"Ofaveolata029790",82,37,29,9,147,59,33,30,7,0,6,120,97,26,7,23,3,46,102
"Ofaveolata029791",11,11,4,0,15,4,5,4,0,0,0,15,3,9,0,0,0,5,40
"Ofaveolata029792",36,2,27,7,70,37,14,26,6,0,3,89,54,13,8,23,0,15,69
"Ofaveolata029793",27,2,9,1,61,26,8,7,13,0,0,87,33,5,0,9,3,34,91
"Ofaveolata029794",12,0,14,1,27,20,34,7,5,2,3,32,18,3,0,13,1,20,80
"Ofaveolata029796",26,6,18,5,27,30,11,10,5,0,0,61,33,8,1,22,1,23,76
"Ofaveolata029799",32,4,3,0,11,73,0,6,0,0,0,21,6,0,0,4,0,0,94
"Ofaveolata029800",20,0,11,1,19,10,7,2,0,0,0,27,18,2,0,9,0,7,28
"Ofaveolata029801",18,1,1,0,7,10,8,2,0,0,0,14,11,0,0,0,0,10,37
"Ofaveolata029802",1,3,0,6,3,14,0,0,0,0,0,0,0,0,0,0,2,1,16
"Ofaveolata029810",10,3,7,4,9,5,0,1,0,0,0,6,5,0,0,3,0,3,28
"Ofaveolata029813",8,4,8,0,13,12,3,4,1,0,0,31,16,10,2,10,0,6,21
"Ofaveolata029818",8,4,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,22
"Ofaveolata029819",70,32,8,5,19,58,18,13,9,10,0,12,5,13,1,19,4,18,103
"Ofaveolata029820",6,0,0,0,1,14,0,1,0,0,0,1,0,0,0,0,0,3,42
"Ofaveolata029823",3,0,0,0,7,1,1,0,0,0,0,11,4,0,0,0,0,2,13
"Ofaveolata029825",3,2,0,0,25,10,0,13,0,0,0,16,3,4,0,5,0,4,30
"Ofaveolata029826",4,0,9,0,15,8,8,2,0,0,2,29,18,8,0,4,0,12,40
"Ofaveolata029828",125,73,48,13,245,150,72,49,51,4,9,175,68,23,17,39,0,55,300
"Ofaveolata029831",33,10,8,8,58,34,20,8,6,0,1,91,27,11,6,15,0,18,98
"Ofaveolata029834",4,0,6,0,13,4,5,0,0,0,0,30,4,4,0,5,0,16,33
"Ofaveolata029837",73,31,9,7,152,23,1,13,7,3,5,60,35,7,32,19,1,36,94
"Ofaveolata029838",50,24,12,7,53,34,34,16,24,5,20,42,28,17,11,16,6,17,34
"Ofaveolata029843",303,81,145,51,374,446,225,146,75,2,12,634,333,113,40,164,13,376,723
"Ofaveolata029846",5,0,2,1,2,1,0,0,0,0,0,11,10,0,0,0,0,1,9
"Ofaveolata029847",7,0,9,3,5,6,6,2,0,0,1,13,6,2,0,10,0,2,11
"Ofaveolata029848",16,0,3,1,14,5,0,1,3,0,1,12,7,0,0,0,0,10,15
"Ofaveolata029849",2,1,2,3,7,7,6,3,0,0,0,10,6,1,0,0,3,2,23
"Ofaveolata029853",11,0,20,8,30,14,10,20,0,0,0,83,23,10,0,21,0,20,71
"Ofaveolata029854",14,9,3,1,15,13,7,2,1,0,0,36,11,3,0,4,0,8,43
"Ofaveolata029855",106,36,17,12,308,62,35,8,14,0,25,44,27,4,13,11,1,17,112
"Ofaveolata029856",24,4,4,0,29,7,4,2,0,0,0,39,18,4,1,4,0,8,57
"Ofaveolata029858",4,0,0,0,5,0,0,0,0,0,0,17,1,0,0,0,0,2,11
"Ofaveolata029859",17,3,6,1,14,24,10,5,0,1,0,23,15,6,11,6,0,5,40
"Ofaveolata029863",1,0,4,7,2,3,0,1,3,1,0,16,16,4,0,4,0,5,17
"Ofaveolata029867",71,18,41,0,130,51,17,21,1,0,0,175,52,5,1,15,1,51,151
"Ofaveolata029868",12,0,4,0,24,5,1,10,3,0,0,27,10,0,0,6,0,11,34
"Ofaveolata029869",5,0,0,0,4,0,6,2,0,0,2,14,5,3,0,0,0,0,25
"Ofaveolata029870",0,0,7,0,7,5,0,0,0,0,0,11,6,2,0,7,0,8,61
"Ofaveolata029871",23,6,7,3,7,19,17,2,5,0,0,52,30,11,0,19,0,18,47
"Ofaveolata029872",28,3,7,0,49,25,10,5,9,0,0,45,30,4,0,1,0,17,84
"Ofaveolata029874",129,20,36,8,150,94,42,19,24,5,1,150,88,10,18,35,3,46,269
"Ofaveolata029875",73,10,17,4,81,63,20,3,6,0,1,76,41,2,0,10,4,26,256
"Ofaveolata029877",56,31,25,11,101,40,34,19,15,0,6,105,49,29,0,28,0,42,68
"Ofaveolata029878",16,0,9,5,27,28,16,14,5,0,2,41,15,8,1,18,0,6,79
"Ofaveolata029880",30,0,30,0,47,22,18,7,0,0,0,38,26,17,1,1,0,11,62
"Ofaveolata029881",6,0,9,4,9,18,5,18,12,2,0,68,37,13,0,2,2,28,57
"Ofaveolata029883",7,0,2,0,32,12,14,7,1,0,0,50,16,1,6,1,0,15,76
"Ofaveolata029885",111,7,38,4,107,114,39,22,17,3,0,168,57,11,5,36,0,63,156
"Ofaveolata029889",31,1,26,2,33,33,13,15,10,0,1,40,30,13,0,22,0,35,69
"Ofaveolata029890",66,21,6,11,9,25,9,1,4,0,1,14,12,4,0,12,0,5,33
"Ofaveolata029891",8,2,8,0,13,14,5,5,0,0,0,90,16,4,0,3,0,46,30
"Ofaveolata029893",46,14,18,6,60,33,15,13,6,1,0,72,44,14,11,27,4,16,95
"Ofaveolata029896",20,9,67,23,121,82,35,24,14,4,10,112,79,50,0,30,2,78,153
"Ofaveolata029897",34,6,0,0,25,17,3,1,2,0,1,8,4,1,9,4,0,3,19
"Ofaveolata029902",454,541,113,156,13,281,193,7,89,8,44,124,140,138,82,336,11,141,33
"Ofaveolata029903",37,2,6,1,76,25,23,31,15,7,0,72,39,5,17,17,5,29,152
"Ofaveolata029904",16,9,1,1,7,15,8,4,1,5,0,30,27,11,0,7,0,7,45
"Ofaveolata029907",1,0,0,0,1,1,0,2,12,0,0,23,17,0,0,9,0,9,32
"Ofaveolata029908",37,12,34,5,52,27,21,13,6,1,0,56,37,15,7,10,0,26,105
"Ofaveolata029912",17,0,1,0,16,4,3,2,0,0,0,13,5,1,0,0,0,0,14
"Ofaveolata029913",299,332,128,169,342,171,180,127,136,32,63,269,207,239,55,234,49,163,611
"Ofaveolata029915",25,10,13,7,39,31,33,7,8,1,2,58,14,6,4,27,0,8,65
"Ofaveolata029916",20,5,12,3,23,49,16,8,2,0,1,47,32,0,0,8,0,18,51
"Ofaveolata029919",6,0,2,0,600,1,6,4,0,0,147,10,5,9,151,1,0,4,4
"Ofaveolata029922",5,3,0,0,7,1,6,0,0,0,0,10,5,0,0,1,0,2,19
"Ofaveolata029923",48,28,9,3,39,44,15,17,3,0,5,71,41,11,4,13,1,30,68
"Ofaveolata029925",55,30,12,3,53,35,14,7,5,0,1,53,33,5,4,29,4,12,79
"Ofaveolata029929",7,2,22,6,44,46,22,6,5,0,0,123,76,11,0,18,0,31,240
"Ofaveolata029930",38,14,1,0,39,12,5,2,0,0,0,40,19,1,0,5,0,18,44
"Ofaveolata029931",29,15,12,3,41,29,26,6,12,0,0,49,26,1,0,8,5,17,96
"Ofaveolata029933",11,0,0,0,17,16,0,0,0,0,0,26,17,0,0,0,0,10,37
"Ofaveolata029934",35,25,14,28,18,32,19,7,10,0,2,38,18,6,0,26,1,20,53
"Ofaveolata029935",155,25,29,8,126,117,55,24,18,4,0,162,56,4,19,18,1,72,227
"Ofaveolata029936",13,0,16,12,56,14,10,6,8,0,6,77,27,0,3,14,2,21,115
"Ofaveolata029937",8,3,5,0,11,16,9,1,1,0,0,21,5,0,0,0,0,6,18
"Ofaveolata029938",5,0,10,2,8,4,2,0,0,0,0,14,5,5,0,0,0,0,12
"Ofaveolata029939",22,1,9,0,35,29,20,2,4,10,6,36,23,5,0,10,1,17,94
"Ofaveolata029953",23,22,3,1,24,19,15,0,7,0,2,25,19,11,1,7,0,7,47
"Ofaveolata029954",0,0,2,0,12,0,0,8,1,0,0,54,10,12,0,0,0,11,22
"Ofaveolata029955",24,1,1,9,25,21,4,1,1,4,0,38,16,2,10,0,0,3,56
